Date,Location,Name,Team,Time,Place
12/07/13,"Southern Illinois-Rec Center FH - Carbondale, IL","Moore, Tommy",Southern Illinois,53.13,6
12/07/13,"Southern Illinois-Rec Center FH - Carbondale, IL","Upchurch, Devin ",SE Missouri,53.96,7
12/07/13,"Southern Illinois-Rec Center FH - Carbondale, IL","Noonan, James",Unattached,55.12,8
12/07/13,"Southern Illinois-Rec Center FH - Carbondale, IL","Jones, Denaldus",Mississippi Valley,1:02.92,9
12/07/13,"Yale-Coxe Cage - New Haven, CT","Guerrier, Jimm",So. Conn. St.,49.06,1
12/07/13,"Yale-Coxe Cage - New Haven, CT","Valley, Dexter",St. Peter's,50.27,2
12/07/13,"Yale-Coxe Cage - New Haven, CT","Forth, Twayne",So. Conn. St.,50.36,3
12/07/13,"Yale-Coxe Cage - New Haven, CT","Houston, Michael",New Haven,51.48,4
12/07/13,"Yale-Coxe Cage - New Haven, CT","Udeh, Nnamdi",Yale,51.73,5
12/07/13,"Yale-Coxe Cage - New Haven, CT","Agyei, Michael",Rutgers-Newark,51.85,6
12/07/13,"Yale-Coxe Cage - New Haven, CT","Cooley, Warner",Sacred Heart,52.09,7
12/07/13,"Yale-Coxe Cage - New Haven, CT","Herrera, John Paul",St. Peter's,52.18,8
12/07/13,"Yale-Coxe Cage - New Haven, CT","Roberts-Smith, Nazim",New Haven,52.28,9
12/07/13,"Yale-Coxe Cage - New Haven, CT","Kranjac, Mario",Yale,52.35,10
12/07/13,"Yale-Coxe Cage - New Haven, CT","Desil, Karl",St. Peter's,52.36,11
12/07/13,"Yale-Coxe Cage - New Haven, CT","Cunningham, Tevin",St. Peter's,52.68,12
12/07/13,"Yale-Coxe Cage - New Haven, CT","House, Donald",Rutgers-Newark,52.95,13
12/07/13,"Yale-Coxe Cage - New Haven, CT","Peters, Mike",Ramapo,53.00,14
12/07/13,"Yale-Coxe Cage - New Haven, CT","Gangi, Ralph",Sacred Heart,53.33,15
12/07/13,"Yale-Coxe Cage - New Haven, CT","Kingston, Joseph",New Haven,53.37,16
12/07/13,"Yale-Coxe Cage - New Haven, CT","Van Meter, Clifford",Yale,53.98,17
12/07/13,"Yale-Coxe Cage - New Haven, CT","Raffone, Alexander",Sacred Heart,54.67,18
12/07/13,"Yale-Coxe Cage - New Haven, CT","Singh, Jaspal",Rutgers-Newark,55.14,19
12/07/13,"Yale-Coxe Cage - New Haven, CT","Dolce, Brandon",Ramapo,55.40,20
12/07/13,"Yale-Coxe Cage - New Haven, CT","Jordan, Rehtul ",Rutgers-Newark,55.74,21
12/07/13,"Adams State-High Altitude Training Center - Alamosa, CO","Howard, Shaquille",Academy of Art,49.06,1
12/07/13,"Adams State-High Altitude Training Center - Alamosa, CO","Wright, Jonathan ",UC-Colo. Spgs.,49.79,2
12/07/13,"Adams State-High Altitude Training Center - Alamosa, CO","Whitman, Travis",UC-Colo. Spgs.,50.19,3
12/07/13,"Adams State-High Altitude Training Center - Alamosa, CO","Buchanan, Ryan ",UC-Colo. Spgs.,51.03,4
12/07/13,"Adams State-High Altitude Training Center - Alamosa, CO","Bolivar, Nathan",Adams State,51.10,5
12/07/13,"Adams State-High Altitude Training Center - Alamosa, CO","Chavez, Ryne",Adams State,51.11,6
12/07/13,"Adams State-High Altitude Training Center - Alamosa, CO","Sanders, Michael",Denver Track Club,51.57,7
12/07/13,"Adams State-High Altitude Training Center - Alamosa, CO","McNally, Alexander",Academy of Art,51.76,8
12/07/13,"Adams State-High Altitude Training Center - Alamosa, CO","Hensley, Marc",UC-Colo. Spgs.,52.31,9
12/07/13,"Adams State-High Altitude Training Center - Alamosa, CO","Lamar, Dustin",Adams State,53.31,10
12/07/13,"Adams State-High Altitude Training Center - Alamosa, CO","Coombs, Sebastian",UNAT-Fort Lewis,53.83,11
12/07/13,"Adams State-High Altitude Training Center - Alamosa, CO","Bills, Justin ",UC-Colo. Spgs.,54.22,12
12/07/13,"Adams State-High Altitude Training Center - Alamosa, CO","Esposito, Austin",Academy of Art,54.43,13
12/07/13,"Adams State-High Altitude Training Center - Alamosa, CO","Haftu, Mesfin",Denver Track Club,54.85,14
12/07/13,"Adams State-High Altitude Training Center - Alamosa, CO","Parent, Mike",Denver Track Club,58.21,15
12/07/13,"Adams State-High Altitude Training Center - Alamosa, CO","Walker, Temarius",Academy of Art,58.40,16
12/07/13,"Concordia (Cal.) (I) - Irvine, CA","Alvarez-Cates, Drake",Soka,50.45,1
12/07/13,"Concordia (Cal.) (I) - Irvine, CA","Nichols, Tyler",Concordia (Cal.),51.64,2
12/07/13,"Concordia (Cal.) (I) - Irvine, CA","Royston, Jon-Thomas",Concordia (Cal.),52.15,3
12/07/13,"Concordia (Cal.) (I) - Irvine, CA","Chatmon, Sean",Whittier,59.06,4
12/07/13,"Concordia (Cal.) (I) - Irvine, CA","Chatmon, Antwon",Whittier,1:01.01,5
12/06/13,"Wyoming-War Memorial FH - Laramie, WY","Albright, Glen ",Northern Colorado,53.94,1
12/06/13,"Wyoming-War Memorial FH - Laramie, WY","Mehn, Zack ",Northern Colorado,54.92,2
12/06/13,"Wyoming-War Memorial FH - Laramie, WY","Rogers, Ryan",Wyoming,56.29,3
12/06 - 12/07/13,"Black Hills St.-Donald Young Center - Spearfish, SD","Alberts, Nick",South Dakota Mines,51.10,1
12/06 - 12/07/13,"Black Hills St.-Donald Young Center - Spearfish, SD","Culp, Frederick",Chadron State,51.17,2
12/06 - 12/07/13,"Black Hills St.-Donald Young Center - Spearfish, SD","Jones, Zerek ",Chadron State,51.22,3
12/06 - 12/07/13,"Black Hills St.-Donald Young Center - Spearfish, SD","Vanderby, Nathan",MSU-Billings,51.92,4
12/06 - 12/07/13,"Black Hills St.-Donald Young Center - Spearfish, SD","Shaal, Garrett",South Dakota Mines,53.32,5
12/06 - 12/07/13,"Black Hills St.-Donald Young Center - Spearfish, SD","Howells, Cale",MSU-Billings,54.37,6
12/06 - 12/07/13,"Black Hills St.-Donald Young Center - Spearfish, SD","Schwenk, Brandon",Chadron State,55.44,7
12/06 - 12/07/13,"Black Hills St.-Donald Young Center - Spearfish, SD","Jolovich, Colby",Gillette College,55.76,8
12/06 - 12/07/13,"Findlay-Malcolm AC - Findlay, OH","Jones, Maurice",Hillsdale,49.54,1
12/06 - 12/07/13,"Findlay-Malcolm AC - Findlay, OH","Hargrove, Jahquil",Unattached,49.56,2
12/06 - 12/07/13,"Findlay-Malcolm AC - Findlay, OH","Fockler, Andrew",Unattached,51.67,3
12/06 - 12/07/13,"Findlay-Malcolm AC - Findlay, OH","Van Dyke, Jared",Hillsdale,51.75,4
12/06 - 12/07/13,"Findlay-Malcolm AC - Findlay, OH","Westerbeck, Elliott",Findlay,51.77,5
12/06 - 12/07/13,"Findlay-Malcolm AC - Findlay, OH","Yoder, David",Cedarville,52.04,6
12/06 - 12/07/13,"Findlay-Malcolm AC - Findlay, OH","Briggs, Maliik",Findlay,52.53,7
12/06 - 12/07/13,"Findlay-Malcolm AC - Findlay, OH","Crews, Adam",Kentucky State,52.80,8
12/06 - 12/07/13,"Findlay-Malcolm AC - Findlay, OH","Haines, Zakary",Siena Heights,53.02,9
12/06 - 12/07/13,"Findlay-Malcolm AC - Findlay, OH","Gittens, Tyler",Unattached,53.22,10
12/06 - 12/07/13,"Findlay-Malcolm AC - Findlay, OH","Rhodes, Tucker",Cedarville,53.48,11
12/06 - 12/07/13,"Findlay-Malcolm AC - Findlay, OH","Johnson, Stefon",Siena Heights,53.63,12
12/06 - 12/07/13,"Findlay-Malcolm AC - Findlay, OH","williams, Ronald",Kentucky State,53.71,13
12/06 - 12/07/13,"Findlay-Malcolm AC - Findlay, OH","Sanchez, Jor-el",Cedarville,54.15,14
12/06 - 12/07/13,"Findlay-Malcolm AC - Findlay, OH","Johnson, David",Hillsdale,54.44,15
12/06 - 12/07/13,"Findlay-Malcolm AC - Findlay, OH","Mems, Quintin",Kentucky State,55.24,16
12/06 - 12/07/13,"Findlay-Malcolm AC - Findlay, OH","mexicotte, erik",Unattached,58.73,17
12/06 - 12/07/13,"Findlay-Malcolm AC - Findlay, OH","Wisler, Bradley",Cedarville,1:01.48,18
12/06 - 12/07/13,"Kent State-Kent State FH - Kent, OH","Tobin, Matthew",Kent State,48.86,1
12/06 - 12/07/13,"Kent State-Kent State FH - Kent, OH","Gentry , Chad",Mount Union,49.03,2
12/06 - 12/07/13,"Kent State-Kent State FH - Kent, OH","Fuller, Dustin ",Pittsburgh,49.60,3
12/06 - 12/07/13,"Kent State-Kent State FH - Kent, OH","Sparks , Tyler",Mount Union,49.78,4
12/06 - 12/07/13,"Kent State-Kent State FH - Kent, OH","Smith, Antwon",Unattached,50.25,5
12/06 - 12/07/13,"Kent State-Kent State FH - Kent, OH","Zallow, Chad",Unattached,50.28,6
12/06 - 12/07/13,"Kent State-Kent State FH - Kent, OH","Sydnor, Jake",Wilmington (Ohio),50.44,7
12/06 - 12/07/13,"Kent State-Kent State FH - Kent, OH","McDonald, Josh",Pittsburgh,50.48,8
12/06 - 12/07/13,"Kent State-Kent State FH - Kent, OH","Kortze, Sherman",Walsh,50.54,9
12/06 - 12/07/13,"Kent State-Kent State FH - Kent, OH","Suehr, Sean",Lake Superior State,50.56,10
12/06 - 12/07/13,"Kent State-Kent State FH - Kent, OH","Comar, Waquiem",Ashland,50.67,11
12/06 - 12/07/13,"Kent State-Kent State FH - Kent, OH","Sonego, Paul",Walsh,50.71,12
12/06 - 12/07/13,"Kent State-Kent State FH - Kent, OH","Young, Danny",Kent State,50.74,13
12/06 - 12/07/13,"Kent State-Kent State FH - Kent, OH","Thompson, Matthew",Kent State,50.86,14
12/06 - 12/07/13,"Kent State-Kent State FH - Kent, OH","Joseph, Yazin",Lake Superior State,50.94,15
12/06 - 12/07/13,"Kent State-Kent State FH - Kent, OH","Dougherty, Craig",Walsh,51.06,16
12/06 - 12/07/13,"Kent State-Kent State FH - Kent, OH","Megenhardt, Marc",Malone,51.26,17
12/06 - 12/07/13,"Kent State-Kent State FH - Kent, OH","Barto, Eric",Malone,51.32,18
12/06 - 12/07/13,"Kent State-Kent State FH - Kent, OH","Robinson, William",Unattached,51.37,19
12/06 - 12/07/13,"Kent State-Kent State FH - Kent, OH","Lavender, JaQuan",Unattached,51.60,20
12/06 - 12/07/13,"Kent State-Kent State FH - Kent, OH","Choi, Jerry",Oberlin,51.65,21
12/06 - 12/07/13,"Kent State-Kent State FH - Kent, OH","Kozlowski, Jeremy",Fredonia,51.73,22
12/06 - 12/07/13,"Kent State-Kent State FH - Kent, OH","Watt, Zach",Unattached,51.73,23
12/06 - 12/07/13,"Kent State-Kent State FH - Kent, OH","Schroeder, Andrew",Mount Union,51.96,24
12/06 - 12/07/13,"Kent State-Kent State FH - Kent, OH","Gates, Devon",Walsh,52.01,25
12/06 - 12/07/13,"Kent State-Kent State FH - Kent, OH","Lynch, Connor",John Carroll,52.67,26
12/06 - 12/07/13,"Kent State-Kent State FH - Kent, OH","Hydzik, Mike",John Carroll,52.74,27
12/06 - 12/07/13,"Kent State-Kent State FH - Kent, OH","Klingshirn, Chase",Mount Union,52.80,28
12/06 - 12/07/13,"Kent State-Kent State FH - Kent, OH","Beiersdorfer, Brendan",Fredonia,53.40,29
12/06 - 12/07/13,"Kent State-Kent State FH - Kent, OH","Moulton, Travis",Fredonia,53.88,30
12/06 - 12/07/13,"Kent State-Kent State FH - Kent, OH","Buffington, Dylan",Unattached,55.05,31
12/06 - 12/07/13,"Kent State-Kent State FH - Kent, OH","Gajewski, Chris",Fredonia,55.39,32
12/06 - 12/07/13,"Kent State-Kent State FH - Kent, OH","Bagno, Chris",Fredonia,55.49,33
12/06 - 12/07/13,"Kent State-Kent State FH - Kent, OH","Cartlidge, Stefan",Oberlin,55.56,34
12/06 - 12/07/13,"Kent State-Kent State FH - Kent, OH","Zager, David",Oberlin,56.12,35
12/06 - 12/07/13,"Marietta-Dyson Baudo Rec Center - Marietta, OH","Burnette, Jeff",West Virginia Wesleyan,55.21,1
12/06 - 12/07/13,"Marietta-Dyson Baudo Rec Center - Marietta, OH","Blake, Brandon",Alderson Broaddus,55.89,2
12/06 - 12/07/13,"Marietta-Dyson Baudo Rec Center - Marietta, OH","Thompson, Lamar",Unattached,56.05,3
12/06 - 12/07/13,"Marietta-Dyson Baudo Rec Center - Marietta, OH","Hollis, Tom",Wheeling Jesuit,56.25,4
12/06 - 12/07/13,"Marietta-Dyson Baudo Rec Center - Marietta, OH","Crickard, Matt",Alderson Broaddus,56.86,5
12/06 - 12/07/13,"Marietta-Dyson Baudo Rec Center - Marietta, OH","Anderson, Trevor",West Virginia Wesleyan,58.06,6
12/06 - 12/07/13,"Marietta-Dyson Baudo Rec Center - Marietta, OH","Dailey, Niles",West Virginia Wesleyan,59.73,7
12/06 - 12/07/13,"Marietta-Dyson Baudo Rec Center - Marietta, OH","Reid, Ricardo",Frostburg State,1:03.57,8
12/06 - 12/07/13,"Marietta-Dyson Baudo Rec Center - Marietta, OH","Patterson, Alex",Frostburg State,1:05.45,9
12/06/13,"Youngstown State-WATTS - Youngstown, OH","Williams, Hunter",Slippery Rock,48.89,1
12/06/13,"Youngstown State-WATTS - Youngstown, OH","Hall, Robin",Youngstown St.,49.26,2
12/06/13,"Youngstown State-WATTS - Youngstown, OH","Chapman, Monte",Slippery Rock,49.87,3
12/06/13,"Youngstown State-WATTS - Youngstown, OH","Roy, R. Abraham",Robert Morris,49.91,4
12/06/13,"Youngstown State-WATTS - Youngstown, OH","Foley, Trevor",Slippery Rock,50.04,5
12/06/13,"Youngstown State-WATTS - Youngstown, OH","Ayers, Malcolm",Robert Morris,50.18,6
12/06/13,"Youngstown State-WATTS - Youngstown, OH","Helfferich, Nathaniel",Slippery Rock,50.35,7
12/06/13,"Youngstown State-WATTS - Youngstown, OH","Helms, John ",Youngstown St.,50.81,8
12/06/13,"Youngstown State-WATTS - Youngstown, OH","VanHouten, Jacob",Slippery Rock,51.09,9
12/06/13,"Youngstown State-WATTS - Youngstown, OH","Strein, Mike",Duquesne,51.42,10
12/06/13,"Youngstown State-WATTS - Youngstown, OH","Pirilla, Tyler",Duquesne,51.70,11
12/06/13,"Youngstown State-WATTS - Youngstown, OH","Dallago, Frank",Duquesne,51.90,12
12/06/13,"Youngstown State-WATTS - Youngstown, OH","Maisonette, Isaiah",Unattached,51.97,13
12/06/13,"Youngstown State-WATTS - Youngstown, OH","Mulazim, Khalid",Southwest Sprinters,52.00,14
12/06/13,"Youngstown State-WATTS - Youngstown, OH","Merritt, Brian",Unattached,52.18,15
12/06/13,"Youngstown State-WATTS - Youngstown, OH","Martin, Patrick",Waynesburg,53.11,16
12/06/13,"Youngstown State-WATTS - Youngstown, OH","Frey, Cody",Notre Dame (Ohio),53.24,17
12/06/13,"Youngstown State-WATTS - Youngstown, OH","Bryk, Mike",Duquesne,53.32,18
12/06/13,"Youngstown State-WATTS - Youngstown, OH","Tomasi, Tony",UNAT-Unattached,53.52,19
12/06/13,"Youngstown State-WATTS - Youngstown, OH","Leahy, Sean",UNAT-Unattached,53.60,20
12/06/13,"Youngstown State-WATTS - Youngstown, OH","Mooney, Logan",UNAT-Unattached,53.64,21
12/06/13,"Youngstown State-WATTS - Youngstown, OH","Adamo, Frank",Washington and Jefferson,53.67,22
12/06/13,"Youngstown State-WATTS - Youngstown, OH","Ridge, Matt",Washington and Jefferson,53.68,23
12/06/13,"Youngstown State-WATTS - Youngstown, OH","Roble, Colin",Waynesburg,55.92,24
12/06/13,"Youngstown State-WATTS - Youngstown, OH","Davis, Brio",Waynesburg,57.91,25
12/06/13,"Youngstown State-WATTS - Youngstown, OH","Ellis, Anthony",Notre Dame (Ohio),59.04,26
12/06/13,"St. Anthony's High School - South Huntington, NY","Rodney, Brendon",LIU Brooklyn,49.86,1
12/06/13,"St. Anthony's High School - South Huntington, NY","Erazo, George",St. Thomas Aquinas,50.18,2
12/06/13,"St. Anthony's High School - South Huntington, NY","Walker-Khan, Adam",LIU Brooklyn,50.65,3
12/06/13,"St. Anthony's High School - South Huntington, NY","Lewis, David",Adelphi,50.83,4
12/06/13,"St. Anthony's High School - South Huntington, NY","Neely, Darius",LIU Brooklyn,51.29,5
12/06/13,"St. Anthony's High School - South Huntington, NY","Williamson, Mikhail",LIU Brooklyn,52.16,6
12/06/13,"St. Anthony's High School - South Huntington, NY","Dukes, Tyquan",LIU Brooklyn,53.43,7
12/06/13,"St. Anthony's High School - South Huntington, NY","Pascale, Luke",Adelphi,53.83,8
12/06/13,"St. Anthony's High School - South Huntington, NY","Drescher, Austin",Adelphi,53.99,9
12/06/13,"St. Anthony's High School - South Huntington, NY","Butterman, Marc",Adelphi,54.04,10
12/06/13,"St. Anthony's High School - South Huntington, NY","Gaul, Dean",Molloy,54.49,11
12/06/13,"St. Anthony's High School - South Huntington, NY","Abdallatif, Sammy",St. Thomas Aquinas,55.20,12
12/06/13,"St. Anthony's High School - South Huntington, NY","Marcano, Andre",CPTC New Balance,56.10,13
12/06/13,"St. Anthony's High School - South Huntington, NY","Buscemi, Mario",Molloy,56.28,14
12/06/13,"St. Anthony's High School - South Huntington, NY","Campmier, David",Adelphi,56.89,15
12/06 - 12/07/13,"Army-Gillis FH - West Point, NY","Green, Matthias",Army,49.86,1
12/06 - 12/07/13,"Army-Gillis FH - West Point, NY","Taylor, Patrick",Army,50.10,2
12/06 - 12/07/13,"Army-Gillis FH - West Point, NY","Phillip, Isaiah",Zenith Velocity AC,51.11,3
12/06 - 12/07/13,"Army-Gillis FH - West Point, NY","Gibson, Bradley",Army Prep,51.24,4
12/06 - 12/07/13,"Army-Gillis FH - West Point, NY","Wilson, Derek",Army,51.42,5
12/06 - 12/07/13,"Army-Gillis FH - West Point, NY","Coley, Javante",Cobleskill,51.44,6
12/06 - 12/07/13,"Army-Gillis FH - West Point, NY","Freeny, Othie",Army,51.46,7
12/06 - 12/07/13,"Army-Gillis FH - West Point, NY","BROWN, MICHAEL",Zenith Velocity AC,52.08,8
12/06 - 12/07/13,"Army-Gillis FH - West Point, NY","Parkinson, Fritz-Michael",UNAT-Queensborough CC,52.50,9
12/06 - 12/07/13,"Army-Gillis FH - West Point, NY","Thomlinson-Aaron, Joshua",Army,53.33,10
12/06 - 12/07/13,"Army-Gillis FH - West Point, NY","Reid, Artneil",Cobleskill,53.66,11
12/06 - 12/07/13,"Army-Gillis FH - West Point, NY","Suchocki, Mike",Cobleskill,53.77,12
12/06 - 12/07/13,"Army-Gillis FH - West Point, NY","McVay, Josh",Cobleskill,54.97,13
12/06 - 12/07/13,"Army-Gillis FH - West Point, NY","Ede, Michael",Army,55.26,14
12/06 - 12/07/13,"Army-Gillis FH - West Point, NY","Ward, Sean",UNAT-Queensborough CC,55.40,15
12/06 - 12/07/13,"Army-Gillis FH - West Point, NY","Garland, Lavaughn",Cobleskill,55.81,16
12/06 - 12/07/13,"Army-Gillis FH - West Point, NY","Crawford, Calvin",UNAT-Queensborough CC,56.55,17
12/06 - 12/07/13,"Army-Gillis FH - West Point, NY","Patterson, Brandon",CC of Philadelphia,56.77,18
12/06 - 12/07/13,"Army-Gillis FH - West Point, NY","Pamlanye, Timothy",USMMA,57.00,19
12/06 - 12/07/13,"Army-Gillis FH - West Point, NY","Davis, Antoine",Army Prep,57.25,20
12/06 - 12/07/13,"Army-Gillis FH - West Point, NY","Morrison, Kamrun",Army Prep,57.83,21
12/06 - 12/07/13,"Army-Gillis FH - West Point, NY","Coleman, Kenneth",Unattached,58.08,22
12/06 - 12/07/13,"Army-Gillis FH - West Point, NY","Nowacki, Krzysztof",USMMA,58.89,23
12/06 - 12/07/13,"Army-Gillis FH - West Point, NY","Telamaque, Steven",UNAT-Queensborough CC,59.36,24
12/06 - 12/07/13,"Army-Gillis FH - West Point, NY","Henry, Silvanus",UNAT-Queensborough CC,1:00.45,25
12/06 - 12/07/13,"Army-Gillis FH - West Point, NY","Khangura, Dharamhet",Mount Saint Mary,1:02.06,26
12/06 - 12/07/13,"Army-Gillis FH - West Point, NY","Cosby, Marquise",UNAT-Queensborough CC,1:18.86,27
12/06/13,"Fordham-Lombardi Center FH - New York, NY","King, Austin",Providence,51.00H,1
12/06/13,"Fordham-Lombardi Center FH - New York, NY","Robinson, Marquis",Fairleigh Dickinson,51.20H,2
12/06/13,"Fordham-Lombardi Center FH - New York, NY","Ewart, Adian",St. Francis (N.Y.),51.40H,3
12/06/13,"Fordham-Lombardi Center FH - New York, NY","Otun, Kazeem ",Fairleigh Dickinson,51.60H,4
12/06/13,"Fordham-Lombardi Center FH - New York, NY","Guerrero, Christian",Providence,52.00H,5
12/06/13,"Fordham-Lombardi Center FH - New York, NY","Andrews, Nik",Providence,52.60H,6
12/06/13,"Fordham-Lombardi Center FH - New York, NY","Gillespie, Lamar",St. Francis (N.Y.),53.50H,7
12/06/13,"Fordham-Lombardi Center FH - New York, NY","Blackman, Austin ",Fairleigh Dickinson,53.70H,8
12/06/13,"Fordham-Lombardi Center FH - New York, NY","Gillespie, Matthew",Iona,53.80H,9
12/06/13,"Fordham-Lombardi Center FH - New York, NY","Olsen, Kevin",Providence,54.00H,10
12/06/13,"Fordham-Lombardi Center FH - New York, NY","Gillespie, Luther",St. Francis (N.Y.),54.10H,11
12/06/13,"Fordham-Lombardi Center FH - New York, NY","Senatus, Quesnel",St. Francis (N.Y.),54.10H,11
12/06/13,"Fordham-Lombardi Center FH - New York, NY","Booker, Chris ",Providence,54.40H,13
12/06/13,"Fordham-Lombardi Center FH - New York, NY","O'Malley, Anthony",Providence,54.60H,14
12/06/13,"Fordham-Lombardi Center FH - New York, NY","Carrington, Shawn",St. Francis (N.Y.),54.60H,14
12/06/13,"Fordham-Lombardi Center FH - New York, NY","Frimpong, Kwaku",Providence,54.80H,16
12/06/13,"Fordham-Lombardi Center FH - New York, NY","Gravano, Frank",Stony Brook,54.90H,17
12/06/13,"Fordham-Lombardi Center FH - New York, NY","Dinh, Christopher",St. Francis (N.Y.),54.90H,17
12/06/13,"Fordham-Lombardi Center FH - New York, NY","Elancieux, Wagner",St. Francis (N.Y.),55.90H,19
12/06/13,"Fordham-Lombardi Center FH - New York, NY","Da Silva, Gabriel",Iona,56.30,20
12/06/13,"Fordham-Lombardi Center FH - New York, NY","Reynolds, Stephen",St. Francis (N.Y.),56.60H,21
12/06/13,"Fordham-Lombardi Center FH - New York, NY","Davies, Olakunle",St. Francis (N.Y.),56.70H,22
12/06/13,"Fordham-Lombardi Center FH - New York, NY","Adamovics, Andy",Iona,57.80H,23
12/06/13,"Fordham-Lombardi Center FH - New York, NY","Galford, Daniel",Iona,57.90H,24
12/06/13,"Fordham-Lombardi Center FH - New York, NY","Delphino, Matthew",St. Francis (N.Y.),58.10H,25
12/06/13,"Fordham-Lombardi Center FH - New York, NY","Lawrence, Jamari",St. Francis (N.Y.),59.80H,26
12/06/13,"Fordham-Lombardi Center FH - New York, NY","Farrell, Brendan ",Iona,1:05.30H,27
12/06/13,"Fordham-Lombardi Center FH - New York, NY","Raseman, Quinn",Iona,1:07.70H,28
12/06/13,"Fordham-Lombardi Center FH - New York, NY","Miller, Chartt",Iona,1:07.90H,29
12/06/13,"Fordham-Lombardi Center FH - New York, NY","Tarsnane, James ",Iona,1:08.00H,30
12/06/13,"Fordham-Lombardi Center FH - New York, NY","Sullivan, Kalen",Iona,1:08.40H,31
12/06/13,"Fordham-Lombardi Center FH - New York, NY","Jendzejec, Kolbe",Iona,1:08.50H,32
12/06/13,"Fordham-Lombardi Center FH - New York, NY","Tario, Andrew",Iona,1:08.70H,33
12/06 - 12/07/13,"New Hampshire-Field House - Durham, NH","Cox, John",New Hampshire,50.44,1
12/06 - 12/07/13,"New Hampshire-Field House - Durham, NH","Merrill, Scott",Maine,52.37,2
12/06 - 12/07/13,"New Hampshire-Field House - Durham, NH","Lucas, Michael",Maine,52.94,3
12/06 - 12/07/13,"New Hampshire-Field House - Durham, NH","Mesengere, Cedric",New Hampshire,54.71,4
12/06 - 12/07/13,"North Dakota St.-Bison Sports Arena - Fargo, ND","Neumiller, Alex",North Dakota St.,50.46,1
12/06 - 12/07/13,"North Dakota St.-Bison Sports Arena - Fargo, ND","Olson, Tyler",North Dakota,50.83,2
12/06 - 12/07/13,"North Dakota St.-Bison Sports Arena - Fargo, ND","Wiemann, Alex",South Dakota St.,51.45,3
12/06 - 12/07/13,"North Dakota St.-Bison Sports Arena - Fargo, ND","Pelowski, Cody",North Dakota St.,51.82,4
12/06 - 12/07/13,"North Dakota St.-Bison Sports Arena - Fargo, ND","Oriental, Legonne",Unattached,52.31,5
12/06 - 12/07/13,"North Dakota St.-Bison Sports Arena - Fargo, ND","Ferry, Brian",UNAT2,52.67,6
12/06 - 12/07/13,"North Dakota St.-Bison Sports Arena - Fargo, ND","Priebe, Traxton",South Dakota St.,52.76,7
12/06 - 12/07/13,"North Dakota St.-Bison Sports Arena - Fargo, ND","Mack, Austin",Unattached,53.83,8
12/06 - 12/07/13,"North Dakota St.-Bison Sports Arena - Fargo, ND","Cebulla, Adam",U-Mary,53.85,9
12/06 - 12/07/13,"North Dakota St.-Bison Sports Arena - Fargo, ND","Wagner, Alex",North Dakota St.,54.54,10
12/06 - 12/07/13,"North Dakota St.-Bison Sports Arena - Fargo, ND","Baumgartner, Corey",U-Mary,56.95,11
12/06/13,"Grand Valley State-Laker Turf Building - Allendale, MI","Russell, William",Cornerstone,49.17,1
12/06/13,"Grand Valley State-Laker Turf Building - Allendale, MI","Versen, Ryan",Unattached,49.18,2
12/06/13,"Grand Valley State-Laker Turf Building - Allendale, MI","Armstrong, Justin",Wis.-Parkside,49.56,3
12/06/13,"Grand Valley State-Laker Turf Building - Allendale, MI","Sterling, Robert",Lewis,50.63,4
12/06/13,"Grand Valley State-Laker Turf Building - Allendale, MI","Ferth, Shane",Waterloo TC,51.21,5
12/06/13,"Grand Valley State-Laker Turf Building - Allendale, MI","Horton, Grayson",McKendree,51.42,6
12/06/13,"Grand Valley State-Laker Turf Building - Allendale, MI","Gonzalez, Jesus",Lewis,52.66,7
12/06/13,"Grand Valley State-Laker Turf Building - Allendale, MI","Brand, Josh",Cornerstone,54.10,8
12/06/13,"Grand Valley State-Laker Turf Building - Allendale, MI","Requadt, Erick",McKendree,59.94,9
12/06/13,"Eastern Michigan-Bowen Fieldhouse - Ypsilanti, MI","Woodrum, Sarah",Toledo,58.15,1
12/06/13,"Eastern Michigan-Bowen Fieldhouse - Ypsilanti, MI","Townsend, Te'Anne",Toledo,58.63,2
12/06/13,"Eastern Michigan-Bowen Fieldhouse - Ypsilanti, MI","Ragland, Darrea",Toledo,1:02.21,3
12/06/13,"Eastern Michigan-Bowen Fieldhouse - Ypsilanti, MI","Dickerson, Ciara",Toledo,1:02.35,4
12/06/13,"Eastern Michigan-Bowen Fieldhouse - Ypsilanti, MI","Stone, Natalie",Oakland,1:04.05,5
12/06/13,"Eastern Michigan-Bowen Fieldhouse - Ypsilanti, MI","Girardot, Elizabeth",Oakland,1:06.92,6
12/06/13,"SVSU Fieldhouse - Saginaw, MI","Walker, James",Saginaw Valley,50.40,1
12/06/13,"SVSU Fieldhouse - Saginaw, MI","Lipsey, Ja'Corey",Central Michigan,51.05,2
12/06/13,"SVSU Fieldhouse - Saginaw, MI","Chiatalas, Lee",Unattached,51.22,3
12/06/13,"SVSU Fieldhouse - Saginaw, MI","Buchholz, Brent",Alma,56.43,4
12/06/13,"SVSU Fieldhouse - Saginaw, MI","Brooks, Bryan",Saginaw Valley,57.49,5
12/06/13,"Navy-Wesley A. Brown FH - Annapolis, MD","Batiste, Austin",Navy,48.02,1
12/06/13,"Navy-Wesley A. Brown FH - Annapolis, MD","Bowe, Stephen ",Delaware State,49.10,2
